Abstract,Task 1
The experimental results confirm the superiority and robustness of the LDOP descriptor.,RESULTS/CONCLUSIONS
"Most recently, generalization of CNNs to data domains such as the 2-sphere has been reported by some research groups, which is referred to as the spherical CNNs (SCNNs).",METHODS
Finally we show how these regularities can be used to build an internal representation of the sensor's external spatial configuration.,METHODS/RESULTS
"Besides, the introduction of opinion leaders accelerates the behavior adoption, but does not change the adoption order of individuals.",RESULTS/CONCLUSIONS
We have identified a large set of reversible CAs using this tool by following some greedy strategies.,RESULTS
This topic has been thoroughly studied on recurrent architectures.,BACKGROUND
"Several single-, double-, and multicomponent unipolar OFDM schemes are considered under the assumption that independent and identically distributed (i.i.d.)",METHODS
"Smart contract enabled access authorization strategy prevents any unauthorized user from accessing the microservices and offers a scalable, decentralized and fine-grained access control solution for smart surveillance systems.",OTHERS
Mobile devices gather the communication capabilities as no other gadget.,BACKGROUND
"The objective of Content-Based Image Retrieval (CBIR) methods is essentially to extract, from large (image) databases, a specified number of images similar in visual and semantic content to a so-called query image.",BACKGROUND
"By adopting distributional inclusion vector embeddings as our basis formation model, we avoid the expensive step of nearest neighbor search that plagues other graph-based methods without sacrificing the quality of sense clusters.",METHODS/RESULTS
"The task is however ridden with challenges specific to videos belonging to the domain of laparoscopy, such as high visual similarity across surgeries and large variations in video durations.",BACKGROUND
"This allows assessing the effectiveness of modern video encoders, like C3D and LSTM, in their ability to model time.",OBJECTIVES
"Our use of generic training data and our investigation of probabilistic classification methodologies that can flexibly address the variable number of candidate species/classes that are expected to be encountered in the field, directly contribute to the development of a practical bird sound identification system with potentially global application.",BACKGROUND
We also present an alternative algorithm based on the least squares (LS) approach.,OBJECTIVES
"Through experiments, we show that GraphSPNs consistently outperform the traditional approach based on undirected graphical models, successfully disambiguating information in global semantic maps built from uncertain, noisy local evidence.",RESULTS/CONCLUSIONS
This technique can be applied in situations where data admit a good approximate representation in a lower dimensional space through linear transformations preserving nonnegativity.,OBJECTIVES/CONCLUSIONS
Strictly speaking the problem requires to identify each pixel instance and class independently of the artifice used for this mean.,BACKGROUND
"To test our method on a benchmark where highly optimized first-order methods are available as references, we train ResNet-50 on ImageNet.",METHODS
We frame regex induction as the problem of inferring a probabilistic regular grammar and propose an efficient inference approach that uses a novel stochastic process recognition model.,METHODS
Experimental results show the major superiority of the proposed algorithm over the other methods.,RESULTS
We further demonstrate that one of our methods can be applied to other languages based on a case study on Swedish.,CONCLUSIONS
"Persistent Homology (PH) allows tracking homology features like loops, holes and their higher-dimensional analogs, along with a single-parameter family of nested spaces.",BACKGROUND
